mean,max,min
22.4,36,19
21.8,35,18
22.0,35,18
22.0,36,18
21.8,35,18
22.6,36,19
22.0,36,18
22.0,35,18
21.6,31,19
22.8,36,19
22.4,35,18
20.8,27,19
21.2,26,19
21.2,24,20
15.0,16,14
21.6,24,17
18.8,22,17
21.2,26,9
17.6,27,11
15.8,23,9
18.8,29,8
16.2,22,8
7.4,9,6
8.4,9,8
34.8,69,16
29.0,40,9
13.6,29,7
8.6,12,7
25.4,33,12
23.4,43,12
38.6,55,26
45.6,68,21
20.8,34,12
54.8,70,45
51.8,101,27
26.0,41,19
40.6,87,24
20.4,29,14
39.8,76,15
36.4,53,21
28.2,38,13
30.6,41,15
34.0,47,28
44.6,68,15
31.8,38,25
53.6,111,30
25.2,33,9
26.4,31,14
47.6,95,17
76.6,104,39
42.0,74,20
39.0,66,12
69.2,165,12
69.2,110,36
78.6,112,37
15.4,21,11
105.6,207,33
83.6,112,14
83.6,112,13
56.0,96,22
54.2,108,10
71.2,112,20
81.2,112,37
38.4,103,10
64.6,112,15
71.6,113,20
102.2,154,37
117.2,196,38
72.0,109,21
91.2,112,38
111.8,161,38
126.6,263,36
121.0,221,41
102.6,179,40
146.2,234,39
165.0,267,78
196.6,295,36
214.2,278,83
179.2,295,40
218.2,296,40
203.2,296,131
143.6,297,41
189.4,266,39
222.2,279,110
205.2,254,126
204.8,297,73
223.6,267,123
210.6,280,135
225.2,280,128
214.4,284,108
230.2,278,128
217.8,294,126
125.4,237,77
149.2,244,106
253.6,282,225
238.6,283,121
212.0,283,120
240.4,300,164
169.2,262,111
248.6,285,140
207.2,282,119
209.8,270,128
215.0,285,115
271.6,285,256
165.4,251,116
234.0,283,135
143.0,251,78
239.2,283,121
273.0,290,241
253.8,295,166
151.0,238,115
216.2,283,156
220.2,285,119
117.2,133,99
200.2,283,113
219.0,282,128
204.0,283,120
237.4,283,121
206.6,283,120
244.6,289,166
208.6,283,121
157.0,270,109
178.2,257,119
203.8,273,114
268.0,303,231
251.8,283,168
256.2,283,236
138.0,171,111
243.6,289,121
233.4,282,114
282.2,303,261
152.2,271,114
282.8,306,261
245.6,289,130
280.0,306,251
215.6,282,119
265.2,292,233
240.8,273,152
276.0,303,246
219.4,285,112
280.0,302,261
240.4,306,75
272.2,289,257
190.2,269,119
221.6,282,119
228.0,270,121
253.6,307,150
194.6,281,113
221.0,298,116
247.6,281,159
256.6,305,166
144.4,243,98
243.2,286,118
253.8,299,157
203.2,300,26
281.0,301,260
282.2,305,260
197.2,294,24
280.2,303,260
266.8,298,229
219.2,283,138
269.4,305,232
227.4,306,147
250.0,295,143
258.2,305,173
280.8,307,256
252.0,307,142
244.2,304,142
266.4,304,227
245.6,292,135
244.4,306,184
212.4,283,124
230.0,295,85
221.8,283,134
248.4,294,145
232.8,304,150
201.2,281,18
257.2,306,171
230.4,307,150
230.8,273,134
220.6,252,114
225.2,291,78
267.6,305,226
279.0,306,244
236.8,305,156
273.8,294,261
219.4,283,119
223.8,283,138
193.2,266,16
226.0,296,146
248.6,293,134
239.6,283,131
234.8,283,132
240.6,286,122
188.8,269,121
238.4,285,109
245.8,292,125
196.2,269,108
274.8,307,260
280.0,300,256
203.2,268,77
224.8,297,151
214.0,283,121
245.6,290,132
203.0,270,121
217.8,269,140
256.8,306,166
214.8,280,113
225.6,307,120
219.8,279,122
269.6,290,250
231.0,283,120
219.0,294,121
251.8,304,148
269.8,293,244
241.2,303,169
237.0,289,115
224.0,307,113
238.0,293,140
261.6,302,173
232.0,282,164
249.4,293,144
275.2,292,254
277.2,294,259
251.2,307,136
234.2,282,119
253.8,305,143
262.4,306,198
246.0,292,147
212.6,265,119
255.2,295,213
159.4,283,86
243.0,292,113
244.4,294,119
281.8,307,259
223.8,302,120
282.4,306,260
253.0,292,166
245.2,293,123
279.6,305,256
256.2,307,163
279.0,293,259
276.2,295,260
278.6,295,254
217.0,272,41
253.4,300,162
279.0,294,259
276.8,295,251
280.0,306,257
214.2,294,87
253.0,306,149
253.6,307,146
279.0,293,260
275.6,295,256
273.2,307,246
202.8,283,122
273.6,292,258
250.2,295,158
252.8,306,170
277.0,307,251
277.8,295,257
239.6,294,120
254.0,307,165
246.6,294,115
165.0,294,114
245.8,290,140
279.8,307,255
273.8,294,253
240.2,283,113
240.6,283,119
271.2,293,254
244.0,292,168
279.2,294,260
266.8,306,191
202.0,283,100
224.0,293,115
238.6,282,121
238.2,283,120
266.4,294,244
201.2,283,145
273.2,303,226
241.0,293,119
267.2,294,242
273.8,294,253
275.4,294,255
235.8,307,113
239.4,294,121
270.2,294,244
278.2,295,261
230.6,294,24
281.4,307,261
226.4,290,114
283.0,307,261
272.0,293,256
280.0,296,260
273.2,307,245
282.6,306,261
242.2,294,120
274.6,294,257
278.6,303,261
243.4,307,100
279.0,297,259
263.4,283,245
273.4,294,250
282.4,307,261
276.0,294,253
279.4,306,260
276.4,295,249
246.0,306,114
282.0,307,260
281.8,306,261
251.2,307,136
282.6,307,260
279.4,295,259
277.2,293,258
202.6,293,76
279.8,306,258
188.8,270,126
236.8,292,84
277.4,295,259
275.4,295,261
275.0,294,256
275.2,295,257
276.0,295,258
244.8,283,139
279.8,295,259
280.2,305,258
266.0,294,225
242.2,307,109
280.4,295,260
248.8,306,140
225.0,307,24
279.2,293,260
264.6,307,183
234.2,294,47
280.2,307,258
220.2,304,113
280.4,301,261
282.4,307,261
248.4,307,139
282.8,307,261
280.2,295,261
246.8,307,114
270.4,307,249
282.4,305,261
251.6,307,115
280.0,307,258
245.6,293,133
278.0,307,258
279.6,294,259
248.2,294,112
280.2,302,260
258.6,295,168
248.0,296,152
278.0,292,260
207.2,283,114
279.6,307,257
246.4,293,140
276.6,294,260
210.2,294,99
273.8,291,256
252.4,293,169
275.6,293,252
267.4,291,247
271.4,291,253
277.2,293,258
279.8,294,261
239.8,290,111
182.0,293,98
278.2,292,257
246.6,293,144
206.2,292,113
275.4,306,254
241.2,281,119
242.8,290,110
270.8,292,256
239.0,296,99
271.4,295,257
243.2,292,114
277.0,305,260
277.0,307,256
274.4,292,256
266.4,287,248
199.0,272,88
241.2,291,112
260.0,289,211
190.6,269,23
272.4,293,255
239.0,282,116
259.0,293,194
197.2,293,117
233.2,283,110
248.0,295,125
186.0,293,24
219.6,293,121
204.2,282,100
249.6,295,149
246.4,282,162
267.0,283,251
245.4,294,121
250.4,307,144
194.2,292,113
276.8,296,260
241.6,294,115
271.8,305,248
246.4,283,151
246.8,292,148
272.0,293,256
246.6,292,137
220.8,299,122
200.0,294,22
276.4,292,256
249.2,297,142
205.8,271,100
274.2,295,255
273.8,302,252
159.8,282,25
282.6,307,260
279.0,307,261
243.8,293,113
247.4,293,142
239.4,294,116
278.4,307,260
278.6,306,261
239.8,282,111
243.0,292,113
204.2,307,24
204.2,307,23
276.2,293,261
222.4,303,116
200.2,280,113
242.2,292,113
189.0,307,100
242.8,292,109
249.0,307,114
264.8,302,212
245.2,307,113
249.0,307,114
281.6,307,258
249.0,296,113
207.6,283,112
279.4,295,261
278.4,295,260
280.6,298,261
248.4,291,154
275.0,294,257
250.0,307,120
246.6,290,116
276.4,294,257
251.0,307,113
283.0,307,261
248.2,305,118
235.6,283,113
276.2,307,256
249.2,292,148
267.0,307,194
270.8,294,249
281.0,302,257
221.6,307,114
247.0,290,123
251.8,307,114
243.2,307,116
242.0,294,116
279.4,307,247
281.6,307,260
282.6,307,260
281.8,306,261
282.2,307,261
279.0,295,261
251.8,306,117
250.2,307,111
264.2,307,191
280.6,307,258
257.6,306,160
280.8,307,256
271.8,307,243
258.2,307,161
272.6,307,245
213.0,293,114
248.6,307,116
247.8,305,113
214.4,292,116
251.8,307,116
213.2,307,98
245.0,304,114
249.0,307,116
242.6,307,111
249.2,307,114
251.6,307,114
282.4,307,261
250.8,307,116
282.2,307,261
274.8,293,256
247.2,299,149
242.0,307,115
250.8,305,115
178.6,307,69
244.6,307,116
269.8,307,228
282.4,307,260
272.6,304,223
189.8,307,111
275.6,307,246
282.4,307,261
223.2,307,114
282.0,307,261
250.8,303,113
217.8,307,113
279.0,305,259
249.2,307,111
250.2,306,111
279.8,305,261
255.8,306,159
282.6,307,261
251.2,306,142
275.8,294,261
235.2,305,155
280.8,304,255
268.4,307,229
269.0,288,247
275.8,305,237
280.8,307,261
250.4,305,116
280.8,307,260
279.8,305,256
280.4,304,260
250.6,306,114
258.0,307,159
255.6,307,153
281.0,305,260
225.8,303,112
265.4,306,188
263.0,306,173
282.0,307,260
275.2,307,256
250.6,307,112
249.6,305,111
281.6,306,261
282.4,307,261
252.4,306,153
249.4,307,113
218.0,303,114
258.2,307,161
281.6,306,260
280.8,307,261
281.2,306,261
249.6,307,111
242.4,303,97
281.6,307,260
251.6,307,114
251.0,307,114
278.2,307,261
252.6,305,145
280.8,307,259
278.4,305,245
281.0,305,257
281.2,307,253
281.4,304,261
252.6,307,142
263.2,283,227
252.6,306,115
250.0,306,111
243.8,307,98
280.2,302,261
263.6,307,176
251.6,307,116
282.6,306,261
250.6,305,113
280.6,303,261
238.2,285,101
246.2,306,112
282.4,307,261
282.8,307,261
240.4,294,101
246.6,307,113
282.6,307,261
281.2,307,261
258.8,307,188
282.4,305,260
282.4,307,261
281.2,302,261
251.0,307,115
281.2,307,260
281.4,307,257
247.8,306,117
280.8,307,258
281.2,307,254
256.0,307,130
276.8,306,256
251.0,307,114
258.6,304,225
282.6,307,261
250.4,303,112
267.8,307,185
252.2,304,145
282.2,306,261
281.4,304,261
280.6,304,260
281.6,304,261
225.8,301,115
218.2,307,110
281.6,307,258
266.0,305,185
221.8,307,111
282.0,307,260
279.0,305,259
281.4,306,259
241.0,307,78
256.6,306,164
281.4,303,261
281.0,305,260
270.6,305,240
241.4,307,120
266.0,292,230
282.0,305,261
235.8,304,113
279.2,306,243
274.4,286,260
243.2,306,122
281.0,307,257
279.0,307,261
236.0,305,66
280.0,302,259
278.6,300,250
226.6,306,142
280.8,301,261
246.4,293,114
232.2,287,69
282.2,307,261
269.0,291,240
230.8,294,48
281.0,304,256
280.6,307,260
281.0,305,261
281.2,307,261
279.2,302,261
265.6,304,212
254.2,303,161
230.6,306,160
275.8,296,261
246.8,302,113
250.6,307,114
269.0,283,256
214.0,303,74
280.6,307,260
281.6,304,260
278.4,299,261
280.4,302,261
281.4,303,259
281.8,307,261
266.2,307,212
282.6,307,260
240.2,292,100
280.0,304,260
248.8,304,111
281.0,306,261
281.6,304,261
281.0,302,258
278.8,306,260
258.0,306,159
281.8,305,260
239.6,307,82
275.6,291,260
235.8,307,34
269.6,305,230
280.8,303,260
250.0,301,114
272.2,306,249
282.0,304,261
281.8,307,258
236.6,306,38
281.4,307,257
273.6,307,249
199.2,290,82
281.0,300,259
249.2,302,122
276.8,301,238
280.2,296,261
247.8,306,114
203.8,302,56
197.6,281,69
254.0,304,157
221.2,307,113
278.2,304,261
270.0,307,206
282.4,305,260
279.6,302,257
250.2,303,114
266.8,305,189
211.0,304,99
254.6,294,166
281.6,303,259
281.8,306,261
281.0,306,261
280.8,304,260
281.0,307,261
235.8,282,98
280.6,307,261
255.0,304,166
281.2,305,261
279.6,305,260
281.4,306,260
281.8,305,261
279.0,306,260
229.0,307,109
226.8,302,112
262.2,304,172
282.0,303,261
236.0,305,37
237.2,306,69
277.6,307,260
227.0,282,69
281.4,305,261
275.0,292,260
194.6,283,70
282.0,307,261
238.0,307,69
280.0,307,250
282.0,307,257
239.8,295,114
250.8,307,111
252.0,303,120
257.0,307,156
274.2,305,256
279.2,306,261
281.8,307,260
279.8,300,258
283.0,307,261
280.8,307,261
237.2,307,69
265.8,303,187
239.0,307,77
253.4,306,119
275.4,305,260
279.8,293,261
281.8,306,260
229.4,305,47
268.6,307,251
258.8,302,173
254.0,304,133
254.6,286,172
279.2,306,255
239.6,307,154
281.8,307,258
281.6,306,260
281.0,307,258
255.8,305,166
281.0,303,260
282.4,307,260
282.4,306,260
217.4,293,111
278.6,307,253
280.8,307,261
282.2,304,261
240.8,304,87
281.6,307,258
282.2,307,261
280.6,303,261
282.0,304,259
200.4,307,77
213.6,306,68
250.2,307,113
131.6,283,48
250.6,306,102
281.2,306,257
280.2,307,249
221.0,291,141
255.8,305,161
240.4,307,156
257.2,305,168
281.2,303,260
251.0,307,143
278.6,299,256
281.0,298,261
278.6,307,259
282.4,307,260
281.2,307,260
277.0,303,235
264.4,292,216
275.4,304,238
282.0,307,258
244.0,306,130
261.2,303,170
282.0,306,257
199.4,307,10
282.6,307,261
281.2,307,261
268.0,304,223
244.8,307,106
273.4,303,252
