mean,max,min
22.4,36,19
22.2,36,18
22.4,36,18
21.8,33,18
21.8,35,18
19.8,20,19
22.2,29,19
21.2,24,17
22.2,30,19
20.4,30,17
10.4,16,5
5.2,7,4
9.6,16,6
4.6,6,4
5.4,6,5
4.6,8,3
3.6,4,3
5.6,9,4
3.2,4,3
7.4,15,3
4.0,5,3
4.0,4,4
4.6,5,4
5.8,6,5
6.4,7,5
11.2,18,7
11.4,18,6
8.8,12,6
8.0,12,6
5.8,6,5
6.4,8,6
6.2,7,5
5.0,6,4
5.8,6,5
5.8,7,5
5.8,7,5
5.4,6,5
5.2,7,4
6.0,8,5
4.8,5,4
6.0,7,5
4.2,5,4
4.2,7,3
6.6,8,4
9.2,11,7
10.2,17,4
6.2,8,4
7.2,16,4
5.0,8,4
6.6,7,6
11.8,18,6
15.8,20,9
4.2,6,3
3.4,4,3
4.0,5,3
3.2,4,3
5.8,12,4
6.0,8,4
5.4,15,3
7.6,9,4
10.6,13,7
9.8,27,4
6.8,12,5
4.0,4,4
5.0,6,4
4.4,5,4
4.4,5,4
3.6,5,3
4.0,4,4
4.0,4,4
4.0,4,4
3.8,4,3
4.0,4,4
3.8,4,3
3.6,4,3
4.2,5,4
4.8,6,4
4.6,5,4
6.2,7,5
6.6,8,6
6.4,8,5
6.4,8,6
14.2,19,8
15.4,26,8
10.2,16,7
10.6,17,5
8.6,11,7
7.4,10,6
12.8,18,7
7.2,8,5
5.6,7,4
7.6,13,5
11.8,19,5
7.6,13,5
12.8,15,11
13.8,36,7
13.8,23,8
16.2,20,11
10.6,18,7
6.4,18,1
15.6,21,6
12.4,19,5
11.4,19,6
12.4,16,7
13.4,16,10
17.0,33,5
10.6,16,6
5.6,9,4
5.0,7,4
5.2,7,4
5.8,7,4
5.0,6,4
5.2,6,4
5.0,8,4
5.8,7,5
4.8,6,4
4.8,6,4
5.6,7,5
6.6,8,5
6.8,10,5
6.0,8,5
11.8,18,6
12.4,16,9
7.6,10,6
7.6,11,5
10.2,16,6
10.0,13,6
8.2,16,5
11.4,17,8
5.6,7,4
6.2,11,3
8.4,19,4
9.0,14,7
13.4,19,10
7.8,9,5
8.2,20,5
11.6,20,7
5.6,7,5
17.8,30,7
15.0,27,5
7.2,10,5
7.6,9,6
8.2,13,5
5.6,6,5
4.8,5,4
9.8,12,8
10.6,17,8
10.8,16,7
9.6,13,5
10.6,13,7
11.6,19,6
11.6,18,7
16.2,20,8
23.4,35,20
18.8,20,17
12.2,15,10
9.4,12,8
9.4,11,8
11.0,15,8
18.8,27,12
11.4,22,6
13.2,36,4
17.6,24,6
15.4,29,8
17.0,36,2
10.4,17,8
20.6,34,14
20.6,27,18
24.2,34,19
19.0,23,10
23.4,36,20
12.0,33,6
21.6,35,10
17.0,34,7
10.0,13,6
13.8,23,8
10.4,21,6
9.8,18,7
8.2,15,6
6.6,7,6
13.0,20,7
14.2,36,2
19.0,35,2
22.8,35,18
23.2,36,18
22.4,36,18
23.8,37,19
25.0,37,21
23.6,35,19
31.4,78,10
22.4,34,18
25.6,36,21
24.0,35,20
23.6,36,19
22.6,35,18
22.4,34,18
23.4,35,19
22.2,34,18
23.6,35,19
38.2,87,21
23.4,36,18
24.4,35,19
30.6,49,22
26.0,37,22
33.2,41,23
24.8,37,20
23.8,36,18
23.2,36,18
25.2,36,22
26.4,38,22
20.6,36,2
25.0,37,21
26.2,37,23
26.6,38,23
36.8,93,2
25.6,37,22
25.4,37,22
25.2,37,21
26.2,37,15
26.2,38,22
34.8,60,14
20.2,36,2
17.0,23,2
25.2,36,22
23.2,36,19
26.0,38,22
24.0,37,20
23.8,29,15
25.2,37,22
24.6,36,21
22.4,36,18
21.6,24,13
23.6,36,20
25.6,37,22
22.2,24,16
25.2,37,22
22.0,25,16
24.8,37,21
24.6,37,21
24.6,37,21
24.4,37,20
24.8,37,21
24.2,37,20
24.8,37,21
25.8,37,22
26.4,37,22
24.4,37,20
19.8,22,18
23.4,35,20
25.0,37,21
25.2,37,21
25.8,37,22
26.0,37,22
24.6,36,20
28.2,37,25
26.4,36,23
25.4,37,22
24.4,36,21
36.8,76,21
26.2,37,21
23.6,36,19
26.0,37,22
24.0,36,19
25.6,37,22
27.2,38,23
27.0,37,23
25.8,36,22
26.6,37,23
27.6,37,23
27.2,38,23
28.0,37,25
26.2,36,23
26.0,36,22
25.6,36,22
25.0,35,22
26.2,37,22
26.4,37,22
25.4,35,22
25.2,36,22
25.8,36,22
25.2,36,22
24.0,35,20
25.4,35,22
27.6,38,23
26.2,37,22
24.2,33,19
18.6,30,15
26.2,35,23
24.4,33,19
26.8,38,23
26.6,36,23
26.0,36,22
25.6,34,23
26.0,36,22
27.0,38,19
27.2,38,23
27.8,38,24
28.0,38,24
19.6,34,15
29.8,37,9
27.6,37,24
27.6,38,24
26.6,36,23
27.0,36,24
26.4,34,24
27.4,35,24
27.8,38,25
36.2,62,26
26.0,33,23
24.4,34,19
27.2,35,25
32.4,48,25
52.6,134,23
24.6,36,18
20.6,34,16
46.2,60,36
19.8,33,15
35.4,84,18
21.0,36,16
24.2,35,16
58.4,97,37
86.6,133,40
35.6,83,18
43.6,93,18
38.6,85,17
20.2,33,16
19.2,35,14
19.4,32,15
57.0,84,39
18.8,34,14
68.0,97,39
21.4,35,16
78.2,133,35
76.2,100,39
71.2,125,38
69.4,98,40
70.6,98,40
74.4,103,39
66.8,97,39
74.0,89,39
89.4,132,37
82.4,133,35
81.4,103,38
70.4,98,39
81.8,104,38
64.2,100,28
87.4,132,39
100.6,143,39
93.8,133,39
105.8,142,38
96.2,133,38
103.4,133,40
110.0,147,39
97.0,136,39
102.4,147,39
102.4,145,39
102.6,145,39
95.4,119,38
88.6,113,38
88.4,111,38
96.6,147,38
84.0,123,34
84.8,115,38
81.6,108,34
79.8,105,30
81.4,105,36
81.8,107,38
94.4,113,38
76.2,106,30
82.4,106,39
94.2,123,30
85.4,139,31
89.4,144,37
77.6,113,30
72.4,106,38
81.4,106,39
94.0,143,39
82.2,105,38
102.0,149,39
82.0,111,39
87.2,107,38
88.0,112,39
88.2,113,40
74.2,98,40
85.0,111,38
